"","X","idno","cntry","gndr","agea","edulvlb","eduyrs","nwspol","netusoft","netustm","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","lrscale","yrbrn"
"5417",9220,10006730,"DE",1,69,322,13,120,5,60,4,3,6,2,2,1,1,4,1947
"5418",9221,10006732,"DE",1,52,322,12,60,5,180,7,6,8,4,4,4,8,5,1964
"5419",9222,10006733,"DE",2,32,720,19,20,5,600,7,7,7,7,7,7,7,2,1984
"5420",9223,10006739,"DE",2,54,322,13,30,5,360,4,6,8,3,3,5,4,2,1962
"5421",9224,10006740,"DE",2,65,322,12,150,5,60,0,6,8,0,0,0,0,4,1951
"5422",9225,10006750,"DE",2,68,720,15,150,5,120,3,5,5,3,4,0,4,0,1948
"5423",9226,10006755,"DE",1,59,322,14,90,5,150,7,7,8,6,5,5,7,4,1957
"5424",9227,10006757,"DE",1,35,720,15,30,5,360,4,7,7,6,6,8,9,3,1981
"5425",9228,10006760,"DE",1,39,720,18,60,5,600,9,7,8,6,6,7,6,6,1977
"5426",9229,10006761,"DE",1,25,313,18,10,5,360,6,7,6,5,5,4,4,1,1991
"5427",9230,10006765,"DE",1,60,720,16,60,5,480,8,6,6,4,4,2,2,3,1956
"5428",9231,10006766,"DE",1,22,322,13,30,4,60,3,5,6,2,2,3,4,5,1994
"5429",9234,10006784,"DE",1,50,520,18,40,5,180,9,9,8,7,7,5,5,6,1966
"5430",9235,10006788,"DE",2,20,312,14,15,5,600,5,4,3,3,3,6,5,7,1996
"5431",9238,10006800,"DE",2,25,322,13,60,5,480,5,5,5,3,5,7,3,7,1991
"5432",9239,10006801,"DE",2,55,720,17,30,5,60,6,8,8,6,6,4,8,5,1961
"5433",9240,10006808,"DE",1,65,610,18,60,4,300,5,4,6,4,4,4,5,4,1951
"5434",9242,10006819,"DE",2,21,313,14,15,5,120,3,6,6,5,5,5,6,0,1995
"5435",9245,10006825,"DE",1,33,720,19,60,5,120,8,9,8,7,8,7,5,2,1983
"5436",9247,10006846,"DE",1,59,610,16,120,5,180,7,7,8,7,7,5,7,7,1957
"5437",9248,10006854,"DE",1,36,720,18,20,5,60,10,9,10,8,7,7,7,3,1980
"5438",9251,10006860,"DE",1,20,212,13,20,5,600,5,7,6,4,4,5,6,6,1996
"5439",9252,10006866,"DE",1,47,720,20,40,5,30,8,8,9,5,5,3,7,6,1969
"5440",9253,10006867,"DE",1,29,322,13,30,5,120,4,8,9,2,2,4,7,5,1987
"5441",9254,10006868,"DE",1,44,720,14,60,5,60,4,7,5,2,1,0,5,7,1972
"5442",9255,10006870,"DE",2,26,423,17,20,5,120,6,7,6,7,7,6,8,4,1990
"5443",9256,10006878,"DE",2,48,720,18,180,4,360,8,9,8,8,8,7,8,0,1968
"5444",9257,10006880,"DE",1,61,322,12,90,5,390,7,8,9,6,6,6,6,2,1955
"5445",9258,10006883,"DE",2,45,720,25,45,5,120,5,8,9,4,4,4,7,1,1972
"5446",9259,10006884,"DE",2,55,322,14,90,5,180,2,0,5,0,5,8,7,5,1961
"5447",9260,10006887,"DE",2,44,720,20,30,5,420,8,8,9,7,6,7,7,4,1972
"5448",9261,10006889,"DE",2,29,322,14,15,5,60,4,6,8,3,3,4,5,5,1987
"5449",9262,10006904,"DE",2,45,610,17,60,4,360,6,9,10,5,5,5,6,5,1971
"5450",9263,10006909,"DE",2,36,423,17,25,4,360,3,6,9,0,0,2,2,5,1980
"5451",9264,10006916,"DE",2,53,720,20,60,5,120,9,8,4,8,6,8,9,3,1963
"5452",9265,10006919,"DE",2,42,520,25,60,4,300,6,5,5,5,7,7,6,0,1974
"5453",9266,10006922,"DE",1,59,520,16,60,5,120,2,5,7,3,3,2,5,4,1957
"5454",9267,10006923,"DE",1,20,313,12,60,5,180,5,6,8,5,5,5,5,4,1996
"5455",9271,10006964,"DE",2,36,423,15,30,5,180,6,5,7,4,6,5,5,4,1980
"5456",9272,10006966,"DE",2,30,620,21,60,5,60,7,7,8,5,5,5,5,4,1986
"5457",9273,10006967,"DE",1,50,322,13,60,5,60,8,7,8,7,6,9,8,3,1966
"5458",9275,10006975,"DE",2,44,720,19,30,5,120,6,5,4,3,3,3,5,3,1972
"5459",9276,10006976,"DE",1,46,720,17,15,5,15,4,7,7,3,5,4,5,6,1970
"5460",9277,10006977,"DE",1,44,322,13,5,5,90,6,7,8,6,6,7,6,1,1972
"5461",9279,10006982,"DE",2,39,720,20,60,5,480,9,9,8,6,7,8,8,3,1978
"5462",9280,10006983,"DE",2,42,322,14,60,4,600,4,6,8,3,3,5,5,5,1975
"5463",9281,10006985,"DE",1,60,610,19,90,5,240,6,4,4,3,4,2,6,3,1956
"5464",9282,10006987,"DE",1,26,620,19,120,5,480,6,7,6,5,6,6,7,2,1990
"5465",9283,10006988,"DE",1,25,313,19,180,5,720,4,8,8,4,2,3,0,5,1991
"5466",9284,10006989,"DE",1,26,322,17,10,5,900,5,6,8,6,4,5,5,4,1990
"5467",9285,10006990,"DE",1,48,520,12,45,5,180,6,7,8,5,5,5,7,3,1968
"5468",9289,10006999,"DE",1,59,720,17,60,5,90,2,4,6,1,1,2,1,4,1957
"5469",9290,10007002,"DE",1,63,720,17,90,5,360,1,3,3,0,3,1,2,0,1953
"5470",9291,10007007,"DE",1,40,720,20,30,5,150,6,7,4,3,4,3,6,3,1976
"5471",9292,10007022,"DE",1,49,720,16,60,5,540,4,8,8,3,5,8,9,6,1967
"5472",9293,10007023,"DE",2,35,322,16,60,5,720,3,5,2,1,1,1,2,5,1981
"5473",9294,10007028,"DE",1,50,720,12,90,5,60,7,6,6,3,3,2,5,4,1966
"5474",9296,10007032,"DE",2,50,422,13,30,5,60,3,5,7,4,4,4,4,5,1966
"5475",9298,10007039,"DE",2,35,322,13,105,5,150,6,8,8,5,6,7,7,5,1981
"5476",9300,10007047,"DE",1,43,322,13,30,5,780,5,8,8,5,5,5,6,5,1974
"5477",9301,10007049,"DE",2,24,322,15,5,5,180,0,5,5,2,2,1,0,5,1992
"5478",9302,10007056,"DE",2,60,610,16,60,5,30,8,8,7,6,6,8,8,3,1956
"5479",9303,10007058,"DE",1,23,620,16,30,5,180,8,7,6,6,6,4,5,4,1993
"5480",9306,10007065,"DE",2,48,322,13,90,5,60,5,5,6,3,3,4,3,3,1968
"5481",9307,10007067,"DE",1,52,422,15,15,5,240,7,8,9,4,4,4,8,5,1964
"5482",9308,10007068,"DE",2,57,322,12,180,5,120,5,4,8,4,3,0,2,3,1959
"5483",9312,10007101,"DE",1,19,213,12,65,5,410,6,8,9,6,5,3,1,0,1997
"5484",9318,10007124,"DE",1,33,322,13,30,5,60,1,8,8,0,1,1,0,8,1983
"5485",9321,10007151,"DE",1,31,322,13,30,5,60,3,3,9,0,3,3,4,5,1985
"5486",9322,10007155,"DE",2,22,312,13,90,5,120,6,7,8,5,6,6,7,6,1994
"5487",9323,10007157,"DE",2,62,322,13,30,4,60,5,7,7,6,6,7,7,3,1954
"5488",9324,10007158,"DE",1,53,520,13,60,5,240,4,6,6,4,3,3,6,3,1963
"5489",9325,10007166,"DE",2,58,520,15,90,5,30,5,6,7,5,6,5,4,2,1958
"5490",9326,10007167,"DE",2,63,720,19,90,5,30,5,5,7,4,3,5,4,3,1953
"5491",9330,10007186,"DE",1,58,322,12,30,5,60,6,6,7,3,3,6,5,4,1958
"5492",9331,10007206,"DE",2,58,520,22,60,5,300,8,8,7,5,5,5,5,4,1958
"5493",9333,10007210,"DE",1,49,610,20,23,5,180,5,7,7,3,3,1,5,3,1967
"5494",9334,10007217,"DE",1,66,321,12,692,4,90,0,0,8,0,0,0,9,5,1950
"5495",9338,10007227,"DE",2,31,322,19,5,5,600,0,5,5,0,0,0,0,5,1986
"5496",9340,10007235,"DE",1,37,322,15,60,5,60,3,8,10,3,3,3,0,8,1979
"5497",9341,10007236,"DE",1,52,322,12,60,5,60,5,6,9,5,5,3,5,2,1964
"5498",9342,10007242,"DE",1,52,322,12,60,5,120,3,3,3,1,1,0,2,3,1964
"5499",9346,10007262,"DE",1,58,720,25,30,4,15,8,9,9,5,6,8,8,3,1958
"5500",9348,10007275,"DE",1,50,322,12,20,4,240,2,2,3,3,3,3,4,5,1966
